279,3,0,1000007
280,3,0,1000007
281,3,0,1000007
282,3,0,1000007
283,3,0,1000007
284,3,0,1000007
285,3,0,1000007
286,3,0,1000007
287,3,0,1000007
288,3,0,1000007
289,3,0,1000007
290,3,0,1000007
291,3,0,1000007
292,3,0,1000007
293,3,0,1000007
294,3,0,1000007
295,3,0,1000007
296,3,0,1000007
297,3,0,1000007
298,3,0,1000007
299,3,0,1000007
300,3,0,1000007
301,3,0,1000007
302,3,0,1000007
303,3,0,1000007
304,3,0,1000007
305,3,0,1000007
306,3,0,1000007
307,3,0,1000007
308,3,0,1000007
309,3,0,1000007
310,3,0,1000007
311,3,0,1000007
312,3,0,1000007
313,3,0,1000007
314,3,0,1000007
315,3,0,1000007
316,3,0,1000007
317,3,0,1000007
318,3,0,1000007
319,3,0,1000007
320,3,0,1000007
321,3,0,1000007
322,3,0,1000007
323,3,0,1000007
324,3,0,1000007
325,3,0,1000007
326,3,0,1000007
327,3,0,1000007
328,3,0,1000007
329,3,0,1000007
330,3,0,1000007
331,3,0,1000007
332,3,0,1000007
333,3,0,1000007
334,3,0,1000007
335,3,0,1000007
336,3,0,1000007
337,3,0,1000007
338,3,0,1000007
339,3,0,1000007
340,3,0,1000007
341,3,0,1000007
342,3,0,1000007
343,3,0,1000007
344,3,0,1000007
345,3,0,1000007
346,3,0,1000007
347,3,0,1000007
348,3,0,1000007
349,3,0,1000007
350,3,0,1000007
351,3,0,1000007
352,3,0,1000007
353,3,0,1000007
354,3,0,1000007
355,3,0,1000007
356,3,0,1000007
357,3,0,1000007
358,3,0,1000007
359,3,0,1000007
360,3,0,1000007
361,3,0,1000007
362,3,0,1000007
363,3,0,1000007
364,3,0,1000007
365,3,0,1000007
366,3,0,1000007
367,3,0,1000007
368,3,0,1000007
369,3,0,1000007
370,3,0,1000007
371,3,0,1000007
372,3,0,1000007
373,3,0,1000007
374,3,0,1000007
375,3,0,1000007
376,3,0,1000007
377,3,0,1000007
378,3,0,1000007
379,3,0,1000007
380,3,0,1000007
381,3,0,1000007
382,3,0,1000007
383,3,0,1000007
384,3,0,1000007
385,3,0,1000007
386,3,0,1000007
387,3,0,1000007
388,3,0,1000007
389,3,0,1000007
390,3,0,1000007
391,3,0,1000007
392,3,0,1000007
393,3,0,1000007
394,3,0,1000007
395,3,0,1000007
396,3,0,1000007
397,3,0,1000007
398,3,0,1000007
399,3,0,1000007
400,3,0,1000007
401,3,0,1000007
402,3,0,1000007
403,3,0,1000007
404,3,0,1000007
405,3,0,1000007
406,3,0,1000007
407,3,0,1000007
408,3,0,1000007
409,3,0,1000007
410,3,0,1000007
411,3,0,1000007
412,3,0,1000007
413,3,0,1000007
414,3,0,1000007
415,3,0,1000007
416,3,0,1000007
417,3,0,1000007
418,3,0,1000007
419,3,0,1000007
420,3,0,1000007
421,3,0,1000007
422,3,0,1000007
423,3,0,1000007
424,3,0,1000007
425,3,0,1000007
426,3,0,1000007
427,3,0,1000007
428,3,0,1000007
429,3,0,1000007
430,3,0,1000007
431,3,0,1000007
432,3,0,1000007
433,3,0,1000007
434,3,0,1000007
435,3,0,1000007
436,3,0,1000007
437,3,0,1000007
438,3,0,1000007
439,3,0,1000007
440,3,0,1000007
441,3,0,1000007
442,3,0,1000007
443,3,0,1000007
444,3,0,1000007
445,3,0,1000007
446,3,0,1000007
447,3,0,1000007
448,3,0,1000007
449,3,0,1000007
450,3,0,1000007
451,3,0,1000007
452,3,0,1000007
453,3,0,1000007
454,3,0,1000007
455,3,0,1000007
456,3,0,1000007
457,3,0,1000007
458,3,0,1000007
459,3,0,1000007
460,3,0,1000007
461,3,0,1000007
462,3,0,1000007
463,3,0,1000007
464,3,0,1000007
465,3,0,1000007
466,3,0,1000007
467,3,0,1000007
468,3,0,1000007
469,3,0,1000007
470,3,0,1000007
471,3,0,1000007
472,3,0,1000007
473,3,0,1000007
474,3,0,1000007
475,3,0,1000007
476,3,0,1000007
477,3,0,1000007
478,3,0,1000007
479,3,0,1000007
480,3,0,1000007
481,3,0,1000007
482,3,0,1000007
483,3,0,1000007
484,3,0,1000007
485,3,0,1000007
486,3,0,1000007
487,3,0,1000007
488,3,0,1000007
489,3,0,1000007
490,3,0,1000007
491,3,0,1000007
492,3,0,1000007
493,3,0,1000007
494,3,0,1000007
495,3,0,1000007
496,3,0,1000007
497,3,0,1000007
498,3,0,1000007
499,3,0,1000007
500,3,0,1000007
501,3,0,1000007
502,3,0,1000007
503,3,0,1000007
504,3,0,1000007
